Ticker,Date,EPS_Estimate,Reported_EPS,EPS_Surprise,Earnings_Event,Positive_Earnings_Surprise,Negative_Earnings_Surprise
RELIANCE,2008-01-17,3.5,3.34,-4.52,1,0,1
RELIANCE,2008-04-21,2.65,3.36,27.01,1,1,0
RELIANCE,2008-07-24,3.6,3.54,-1.77,1,0,1
RELIANCE,2008-10-23,3.59,3.55,-1.05,1,0,1
RELIANCE,2009-01-22,2.54,2.94,15.59,1,1,0
RELIANCE,2009-05-31,2.8,0.88,-68.75,1,0,1
RELIANCE,2009-07-24,3.39,2.89,-14.76,1,0,1
RELIANCE,2009-10-29,2.9,2.93,0.82,1,1,0
RELIANCE,2010-01-22,3.15,3.08,-2.41,1,0,1
RELIANCE,2010-04-23,4.19,4.53,7.96,1,1,0
RELIANCE,2010-07-28,4.2,3.7,-11.9,1,0,1
RELIANCE,2010-10-30,3.85,3.78,-1.95,1,0,1
RELIANCE,2011-01-21,3.95,3.93,-0.6,1,0,1
RELIANCE,2011-04-21,4.1,4.1,,1,0,0
RELIANCE,2011-07-25,4.44,4.33,-2.67,1,0,1
RELIANCE,2011-10-15,4.4,4.35,-1.14,1,0,1
RELIANCE,2012-01-20,3.4,3.4,,1,0,0
RELIANCE,2012-04-20,3.21,3.23,0.47,1,1,0
RELIANCE,2012-07-20,3.35,3.43,2.24,1,1,0
RELIANCE,2012-10-15,4.1,4.15,1.32,1,1,0
RELIANCE,2013-01-18,3.86,4.25,10.02,1,1,0
RELIANCE,2013-04-16,4.4,4.33,-1.7,1,0,1
RELIANCE,2013-07-19,4.14,4.15,0.13,1,1,0
RELIANCE,2013-10-14,4.23,4.25,0.38,1,1,0
RELIANCE,2014-01-17,4.2,4.28,1.83,1,1,0
RELIANCE,2014-04-18,4.49,4.35,-3.05,1,0,1
RELIANCE,2014-07-19,4.84,5.08,4.8,1,1,0
RELIANCE,2014-10-13,4.56,5.08,11.2,1,1,0
RELIANCE,2015-01-16,4.18,4.45,6.48,1,1,0
RELIANCE,2015-04-17,4.62,5.43,17.4,1,1,0
RELIANCE,2015-07-24,4.96,4.88,-1.75,1,0,1
RELIANCE,2015-10-16,4.59,5.08,10.53,1,1,0
RELIANCE,2016-01-19,5.47,5.58,1.9,1,1,0
RELIANCE,2016-04-22,5.51,5.65,2.55,1,1,0
RELIANCE,2016-07-15,5.0,5.8,15.95,1,1,0
RELIANCE,2016-10-20,5.56,5.93,6.48,1,1,0
RELIANCE,2017-01-16,6.1,6.18,1.27,1,1,0
RELIANCE,2017-04-24,6.2,6.27,1.18,1,1,0
RELIANCE,2017-07-20,6.35,6.3,-0.87,1,0,1
RELIANCE,2017-10-13,7.18,6.51,-9.31,1,0,1
RELIANCE,2018-01-19,6.73,6.7,-0.52,1,0,1
RELIANCE,2018-04-27,7.0,6.86,-1.93,1,0,1
RELIANCE,2018-07-27,7.09,6.96,-1.87,1,0,1
RELIANCE,2018-10-17,7.34,6.99,-4.77,1,0,1
RELIANCE,2019-01-17,7.21,7.04,-2.31,1,0,1
RELIANCE,2019-04-18,6.78,6.75,-0.37,1,0,1
RELIANCE,2019-07-19,8.0,8.53,6.61,1,1,0
RELIANCE,2019-10-18,7.48,7.65,2.34,1,1,0
RELIANCE,2020-01-17,9.72,9.29,-4.4,1,0,1
RELIANCE,2020-04-30,5.9,5.39,-8.73,1,0,1
RELIANCE,2020-07-30,4.1,4.16,1.46,1,1,0
RELIANCE,2020-10-30,4.35,5.02,15.4,1,1,0
RELIANCE,2021-01-22,6.13,6.65,8.57,1,1,0
RELIANCE,2021-04-30,8.6,5.8,-32.62,1,0,1
RELIANCE,2021-07-23,5.25,6.53,24.29,1,1,0
RELIANCE,2021-10-22,7.38,6.95,-5.83,1,0,1
RELIANCE,2022-01-21,8.6,7.61,-11.51,1,0,1
RELIANCE,2022-05-06,7.85,8.2,4.46,1,1,0
RELIANCE,2022-07-22,19.64,13.27,-32.43,1,0,1
RELIANCE,2022-10-21,12.83,10.09,-21.36,1,0,1
RELIANCE,2023-01-20,12.71,11.67,-8.18,1,0,1
RELIANCE,2023-04-21,13.38,14.26,6.57,1,1,0
RELIANCE,2023-07-21,12.65,11.83,-6.46,1,0,1
RELIANCE,2023-10-27,13.41,12.86,-4.15,1,0,1
RELIANCE,2024-01-19,12.88,12.76,-0.96,1,0,1
RELIANCE,2024-04-22,14.93,14.01,-6.21,1,0,1
RELIANCE,2024-07-19,12.81,11.19,-12.69,1,0,1
RELIANCE,2024-10-14,5.85,5.7,-2.56,1,0,1
RELIANCE,2025-01-16,13.39,13.7,2.34,1,1,0
RELIANCE,2025-04-25,6.4,8.29,29.53,1,1,0
RELIANCE,2025-07-18,15.45,19.95,29.12,1,1,0
RELIANCE,2025-10-17,14.35,13.42,-6.45,1,0,1
RELIANCE,2026-01-16,14.89,13.78,-7.44,1,0,1
RELIANCE,2026-04-24,15.39,12.54,-18.52,1,0,1
RELIANCE,2026-07-17,7.1,9.81,38.17,1,1,0
TCS,2005-01-13,1.63,1.35,-16.92,1,0,1
TCS,2005-04-19,1.78,0.61,-65.39,1,0,1
TCS,2005-07-15,1.59,1.64,3.06,1,1,0
TCS,2005-10-19,1.83,1.81,-1.03,1,0,1
TCS,2006-01-12,1.96,1.77,-9.48,1,0,1
TCS,2006-04-17,2.12,2.13,0.31,1,1,0
TCS,2006-07-18,2.15,2.26,5.04,1,1,0
TCS,2006-10-16,2.33,2.53,8.69,1,1,0
TCS,2007-01-15,2.79,2.82,1.28,1,1,0
TCS,2007-04-16,3.09,3.05,-1.36,1,0,1
