Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
2022-05-13,1321.9034423828125,1343.7389035215306,1316.3676433280884,1334.9959664754047,6723761
2022-05-16,1308.4593505859375,1328.4495800627174,1299.2770683025562,1326.8240224148346,6145331
2022-05-17,1334.2490234375,1340.0044954869074,1301.254223004272,1313.555903618578,6516378
2022-05-18,1326.1212158203125,1361.7082228295687,1322.6944046587707,1337.3685103231596,6594126
2022-05-19,1254.0244140625,1304.5930382065774,1245.676846021442,1301.3419230322806,16561140
2022-05-20,1278.6278076171875,1288.8206063685275,1271.2028009563014,1276.7385996614764,10488908
2022-05-23,1290.2705078125,1307.4928382619098,1274.1465416425442,1278.5838689742561,5887569
2022-05-24,1266.1942138671875,1291.2808943889067,1261.14173869041,1290.446073263294,5693167
2022-05-25,1239.350341796875,1267.5124463343247,1229.50904023106,1260.9222603048568,9630092
2022-05-26,1251.2125244140625,1256.528650069207,1236.3627261774936,1245.9843537049899,13040065
2022-05-27,1284.07568359375,1289.040311563104,1263.0310670153488,1268.7864314520264,8284860
2022-05-30,1341.586181640625,1344.397951444672,1304.856835225711,1306.614218168776,10904213
2022-05-31,1335.1923828125,1347.9795623962705,1321.4728713370666,1341.4971403772934,16033857
2022-06-01,1312.9481201171875,1345.0935709100895,1307.2204739379727,1343.5395760270444,8738508
2022-06-02,1339.0997314453125,1344.2944932066457,1310.3286014773466,1317.78779937987,7205840
2022-06-03,1351.2652587890625,1380.8356080966064,1347.9797125984878,1354.1069147899177,9395707
2022-06-06,1358.6800537109375,1364.496369880414,1325.779716646575,1346.2036506605543,6624883
2022-06-07,1337.9454345703125,1349.622620273809,1334.3046674668235,1349.622620273809,4904592
2022-06-08,1331.9957275390625,1349.9332266440192,1324.891750325521,1349.9332266440192,4697608
2022-06-09,1345.315673828125,1347.0472249005495,1315.5677694893513,1318.675759494895,4361061
2022-06-10,1311.39404296875,1326.62310514879,1308.5523874648798,1319.6523502188877,6516436
2022-06-13,1264.951904296875,1281.9126277011962,1253.5854977400272,1281.9126277011962,6987685
2022-06-14,1279.2044677734375,1286.619223049743,1245.9933493091928,1252.0761087251524,6090247
2022-06-15,1262.909423828125,1284.3990185434857,1259.9346552426048,1278.8933715213977,4651958
2022-06-16,1240.7095947265625,1282.0459060881565,1236.0920528309707,1276.9399223929138,6641772
2022-06-17,1231.91845703125,1240.487542584052,1214.0252932515164,1235.2484462558373,9692047
2022-06-20,1255.7611083984375,1263.0426411881947,1227.2119802322318,1234.360400176754,4595194
2022-06-21,1287.5069580078125,1292.9237183901334,1263.397816167282,1264.5078124914492,6270787
2022-06-22,1276.2738037109375,1296.1205167768,1274.2758102801847,1275.2082505737685,6253366
2022-06-23,1289.7716064453125,1294.700034710345,1272.5001027022802,1278.538527567716,6254281
2022-06-24,1279.6927490234375,1303.1358968889983,1268.8592264937179,1294.6999234508755,6114340
2022-06-27,1309.4405517578125,1317.7877464947417,1301.049022203048,1303.6242355705597,4511097
2022-06-28,1314.368896484375,1321.561651135481,1290.2597541406712,1304.4677073865423,4412178
2022-06-29,1299.3616943359375,1311.5716538760837,1293.8117127267801,1300.6492467100306,5060038
2022-06-30,1298.1632080078125,1316.0119311432934,1292.0360052722617,1300.9604210390532,9165177
2022-07-01,1313.7030029296875,1318.675765280758,1280.802665224558,1291.1478536823045,4651635
2022-07-04,1321.339599609375,1325.113587041055,1298.251676497921,1314.4576225280762,4800224
2022-07-05,1310.6392822265625,1340.831183761111,1307.1317370251647,1330.9301027704544,7379669
2022-07-06,1324.5809326171875,1331.9956869281368,1305.3557731895742,1316.1892947506883,5209162
2022-07-07,1330.8411865234375,1344.3831420553722,1328.1771952712536,1334.7040605575694,3323472
2022-07-08,1344.8271484375,1347.0471411605954,1331.9511906435466,1345.315590195814,3652582
2022-07-11,1308.153076171875,1331.9070008962192,1302.1590951666665,1327.5557930054122,4702638
2022-07-12,1277.47265625,1304.1125702899615,1275.1638853794875,1298.0742548130895,4710356
2022-07-13,1282.667236328125,1296.4756331777055,1277.4724755049383,1287.5956630874473,5264025
2022-07-14,1268.8148193359375,1290.2155308812712,1255.6280821611772,1288.4839796434712,6157606
2022-07-15,1270.146728515625,1284.0439058847987,1252.6532276522264,1284.0439058847987,5620018
2022-07-18,1323.0269775390625,1326.3125236399783,1285.8643184329112,1287.5958695188904,5835171
2022-07-19,1317.9210205078125,1320.3185695057068,1305.4446169198009,1306.7322778541525,3418540
2022-07-20,1345.5821533203125,1354.9061235932559,1331.9957532776436,1333.1057497387085,5079392
2022-07-21,1361.2109375,1363.475265334351,1334.7485774263982,1347.0917602580191,5008061
2022-07-22,1337.590087890625,1367.5155470877928,1325.0249071257533,1362.1875644368015,7020642
2022-07-25,1335.1923828125,1347.2247865607108,1314.3244515105814,1314.3244515105814,7859626
2022-07-26,1288.616943359375,1329.020809215027,1283.1557398113582,1329.020809215027,7268273
2022-07-27,1306.2882080078125,1308.019759034265,1283.1558396500427,1288.483822375233,4517285
2022-07-28,1347.44677734375,1353.7070916560501,1322.9824146761307,1328.7988388509684,6636841
2022-07-29,1376.129150390625,1381.457133330871,1356.859655449305,1361.122085160738,7009465
2022-08-01,1377.328125,1388.8276455859902,1365.6509399319816,1388.8276455859902,2983249
2022-08-02,1370.7122802734375,1373.7314920454614,1357.1703247119033,1373.3319367159932,4374635
