Date,Ticker,Split,Days_Since_Earnings,Target,Predicted_Label,Confidence,Primary_Driver,Internal_Magnitude,External_Magnitude,Total_Magnitude,Internal_Percentage,External_Percentage,Top_Internal_Feature,Top_Internal_SHAP,Top_External_Feature,Top_External_SHAP
2025-02-18,TCS,Test,40,0,HOLD,0.4704,EXTERNAL,0.255141,0.559592,0.814732,31.32,68.68,Reported_EPS,0.153394,Normalized_MACD_Hist,0.092477
2025-02-19,INFY,Test,34,0,BUY,0.4272,EXTERNAL,0.103659,0.548259,0.651919,15.9,84.1,Days_Since_Earnings,-0.030788,RSI_14,0.109493
2025-02-19,RELIANCE,Test,34,1,SELL,0.4177,EXTERNAL,0.097548,0.600296,0.697845,13.98,86.02,Days_Since_Earnings,0.042256,Return_21d,0.148492
2025-02-19,TCS,Test,41,0,BUY,0.4195,EXTERNAL,0.10533,0.947097,1.052426,10.01,89.99,Reported_EPS,-0.04063,RSI_14,0.143142
2025-02-20,INFY,Test,35,0,HOLD,0.4044,EXTERNAL,0.069505,0.589065,0.658571,10.55,89.45,Days_Since_Earnings,0.026941,Volume_to_MA20,0.165757
2025-02-20,RELIANCE,Test,35,0,SELL,0.4584,EXTERNAL,0.094244,0.639236,0.73348,12.85,87.15,EPS_Surprise_Pct,-0.024452,Return_21d,0.166497
2025-02-20,TCS,Test,42,0,BUY,0.4228,EXTERNAL,0.111399,1.10383,1.215229,9.17,90.83,Reported_EPS,-0.042853,SMA20_to_SMA50,0.167402
2025-02-21,INFY,Test,36,0,HOLD,0.4009,EXTERNAL,0.070668,0.511049,0.581717,12.15,87.85,Days_Since_Earnings,0.029279,VIX_Level,0.132542
2025-02-21,RELIANCE,Test,36,0,SELL,0.3864,EXTERNAL,0.111152,0.513489,0.624641,17.79,82.21,Days_Since_Earnings,0.060473,Normalized_ATR,0.164937
2025-02-21,TCS,Test,43,0,HOLD,0.4216,EXTERNAL,0.210309,0.705219,0.915528,22.97,77.03,Reported_EPS,0.130247,VIX_Level,0.169744
2025-02-24,INFY,Test,39,0,HOLD,0.3868,EXTERNAL,0.080517,0.774372,0.854889,9.42,90.58,Days_Since_Earnings,0.032387,VIX_Level,0.196449
2025-02-24,RELIANCE,Test,39,0,HOLD,0.346,EXTERNAL,0.071908,0.656869,0.728777,9.87,90.13,Days_Since_Earnings,0.030665,VIX_Level,0.184967
