SELL_Threshold,BUY_Threshold,Accuracy,Macro_F1,Balanced_Accuracy
0.33999999999999997,0.22,0.33048433048433046,0.307226241018608,0.34991058393524765
0.33999999999999997,0.24,0.33048433048433046,0.307226241018608,0.34991058393524765
0.3799999999999999,0.3799999999999999,0.6001899335232669,0.3068964928770525,0.3396063950996686
0.26,0.35999999999999993,0.3627730294396961,0.3066046127231596,0.3469299758537427
0.2,0.35999999999999993,0.3599240265906933,0.30504944588914057,0.3465395155417577
0.22,0.35999999999999993,0.3599240265906933,0.30504944588914057,0.3465395155417577
0.31999999999999995,0.29999999999999993,0.3200379867046534,0.30503284104633055,0.3566849505750851
0.24,0.35999999999999993,0.3599240265906933,0.3050246825848434,0.3465395155417577
0.35999999999999993,0.26,0.3732193732193732,0.3040751084284629,0.33478563663541244
0.35999999999999993,0.2,0.37226970560303896,0.3035059962967682,0.3342873805317752
0.35999999999999993,0.22,0.37226970560303896,0.3035059962967682,0.3342873805317752
0.35999999999999993,0.24,0.37226970560303896,0.3035059962967682,0.3342873805317752
0.4599999999999999,0.35999999999999993,0.5982905982905983,0.30305091733663164,0.3446063776781266
0.47999999999999987,0.35999999999999993,0.5982905982905983,0.30289599152392727,0.3446063776781266
0.49999999999999983,0.35999999999999993,0.5982905982905983,0.30289599152392727,0.3446063776781266
0.5199999999999998,0.35999999999999993,0.5982905982905983,0.30289599152392727,0.3446063776781266
0.5399999999999998,0.35999999999999993,0.5982905982905983,0.30289599152392727,0.3446063776781266
0.5599999999999998,0.35999999999999993,0.5982905982905983,0.30289599152392727,0.3446063776781266
0.5799999999999998,0.35999999999999993,0.5982905982905983,0.30289599152392727,0.3446063776781266
0.5999999999999999,0.35999999999999993,0.5982905982905983,0.30289599152392727,0.3446063776781266
0.6199999999999999,0.35999999999999993,0.5982905982905983,0.30289599152392727,0.3446063776781266
0.6399999999999998,0.35999999999999993,0.5982905982905983,0.30289599152392727,0.3446063776781266
0.6599999999999997,0.35999999999999993,0.5982905982905983,0.30289599152392727,0.3446063776781266
0.6799999999999997,0.35999999999999993,0.5982905982905983,0.30289599152392727,0.3446063776781266
0.6999999999999997,0.35999999999999993,0.5982905982905983,0.30289599152392727,0.3446063776781266
0.3999999999999999,0.35999999999999993,0.5859449192782527,0.30283080488832703,0.3392333563297689
